"Work item ID","Work type","Summary","Description","Parent","Priority","Story point estimate","Labels","Labels","Labels","Labels","Labels","Labels","Labels"
"1001","Epic","Infraestructura y entornos","Resultado y límites: Monorepo, CI/CD, modelo de datos (ERD), entornos de staging y producción, dominio y proveedores externos (S3, Resend) configurados por el equipo. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-infra","lote-inicial","backlog-oficial","","","",""
"1002","Epic","Identidad y control de acceso","Resultado y límites: Autenticación con Auth0 y RBAC productor/artista aplicado en todas las rutas. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-identity","lote-inicial","backlog-oficial","","","",""
"1003","Epic","Artistas","Resultado y límites: Registro centralizado de artistas con unicidad y estados activo/suspendido/bloqueado. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-artists","lote-inicial","backlog-oficial","","","",""
"1004","Epic","Producciones","Resultado y límites: Producciones por artista y formato (álbum, EP, sencillo) con sus reglas de formato. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-productions","lote-inicial","backlog-oficial","","","",""
"1005","Epic","Canciones","Resultado y límites: Canciones por producción con posición, estado y borrado confirmado en cascada. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-songs","lote-inicial","backlog-oficial","","","",""
"1006","Epic","Versiones de audio","Resultado y límites: Subida WAV/MP3 ≤ 500 MB, versionado secuencial, reproducción embebida y URLs prefirmadas. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-audio","lote-inicial","backlog-oficial","","","",""
"1007","Epic","Comentarios con marca de tiempo","Resultado y límites: Retroalimentación vinculada al segundo exacto del audio, no editable, con borrado solo del autor. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-comments","lote-inicial","backlog-oficial","","","",""
"1008","Epic","Acceso del artista","Resultado y límites: Invitación y revocación por producción; el artista solo ve lo que se le asignó. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-artist-access","lote-inicial","backlog-oficial","","","",""
"1009","Epic","Sesiones de estudio","Resultado y límites: Calendario del productor sin solapes y solicitudes de sesión del artista. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-sessions","lote-inicial","backlog-oficial","","","",""
"1010","Epic","Calidad y aceptación","Resultado y límites: Pruebas unitarias e integración, verificación de RNF y aceptación con el productor. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-quality","lote-inicial","backlog-oficial","","","",""
"1011","Epic","Documento de tesis","Resultado y límites: Secciones de diseño, desarrollo, pruebas y resultados del documento de titulación, con evidencia del proyecto. La épica agrupa alcance aprobado; cada entrega requiere spec de capa y tests en rojo antes de implementar.","","","","local-ts-epic-thesis","lote-inicial","backlog-oficial","","","",""
